"class_id","component_id","instance_id","panel"
"WP09C00505","1","B_o005_r00890","B"
"WP09C00506","1","B_o005_r00865","B"
"WP09C00507","1","B_o005_r00858","B"
"WP09C00508","1","B_o005_r00904","B"
"WP09C00509","1","B_o005_r00905","B"
"WP09C00510","1","B_o005_r00874","B"
"WP09C00511","1","B_o005_r00959","B"
"WP09C00512","1","B_o005_r00876","B"
"WP09C00513","1","B_o005_r00869","B"
"WP09C00513","1","B_o005_r00893","B"
"WP09C00514","1","B_o005_r00937","B"
"WP09C00514","1","B_o005_r00939","B"
"WP09C00514","1","B_o005_r00943","B"
"WP09C00514","1","B_o005_r00945","B"
"WP09C00515","1","B_o005_r00946","B"
"WP09C00516","1","B_o005_r00894","B"
"WP09C00517","1","B_o005_r00938","B"
"WP09C00517","1","B_o005_r00944","B"
"WP09C00518","1","B_o005_r00846","B"
"WP09C00519","1","B_o005_r00910","B"
"WP09C00520","1","B_o005_r00856","B"
"WP09C00521","1","B_o005_r00843","B"
"WP09C00521","1","B_o005_r00849","B"
"WP09C00521","1","B_o005_r00873","B"
"WP09C00522","1","B_o006_r01051","B"
"WP09C00522","1","B_o006_r01053","B"
"WP09C00523","1","B_o006_r01034","B"
"WP09C00523","1","B_o006_r01040","B"
"WP09C00524","1","B_o006_r00988","B"
"WP09C00525","1","B_o006_r00970","B"
"WP09C00526","1","B_o006_r00965","B"
"WP09C00526","1","B_o006_r00971","B"
"WP09C00526","1","B_o006_r00995","B"
"WP09C00527","1","B_o006_r00961","B"
"WP09C00528","1","B_o006_r01069","B"
"WP09C00528","1","B_o006_r01071","B"
"WP09C00529","1","B_o006_r01054","B"
"WP09C00530","1","B_o006_r01052","B"
"WP09C00531","1","B_o006_r00979","B"
"WP09C00531","1","B_o006_r00981","B"
"WP09C00531","1","B_o006_r01003","B"
"WP09C00531","1","B_o006_r01005","B"
"WP09C00532","1","B_o006_r01042","B"
"WP09C00533","1","B_o006_r01058","B"
"WP09C00533","1","B_o006_r01064","B"
"WP09C00534","1","B_o006_r00973","B"
"WP09C00534","1","B_o006_r00975","B"
"WP09C00534","1","B_o006_r00997","B"
"WP09C00534","1","B_o006_r00999","B"
"WP09C00535","1","B_o006_r01048","B"
"WP09C00536","1","B_o006_r00974","B"
"WP09C00536","1","B_o006_r00998","B"
"WP09C00537","1","B_o006_r00963","B"
"WP09C00537","1","B_o006_r00969","B"
"WP09C00537","1","B_o006_r00993","B"
"WP09C00538","1","B_o006_r01022","B"
"WP09C00539","1","B_o006_r01021","B"
"WP09C00539","1","B_o006_r01023","B"
"WP09C00540","1","B_o006_r00994","B"
"WP09C00541","1","B_o006_r00985","B"
"WP09C00541","1","B_o006_r00987","B"
"WP09C00541","1","B_o006_r01009","B"
"WP09C00541","1","B_o006_r01011","B"
"WP09C00542","1","B_o006_r01070","B"
"WP09C00543","1","B_o006_r01057","B"
"WP09C00543","1","B_o006_r01059","B"
"WP09C00543","1","B_o006_r01063","B"
"WP09C00543","1","B_o006_r01065","B"
"WP09C00544","1","B_o006_r00978","B"
"WP09C00545","1","B_o006_r01028","B"
"WP09C00546","1","B_o006_r00972","B"
"WP09C00547","1","B_o006_r01000","B"
"WP09C00548","1","B_o006_r01026","B"
"WP09C00549","1","B_o006_r01031","B"
"WP09C00550","1","B_o006_r00980","B"
"WP09C00550","1","B_o006_r01004","B"
"WP09C00551","1","B_o006_r01030","B"
"WP09C00552","1","B_o006_r01025","B"
"WP09C00553","1","B_o006_r01012","B"
"WP09C00554","1","B_o006_r01002","B"
"WP09C00555","1","B_o006_r00977","B"
"WP09C00555","1","B_o006_r01001","B"
"WP09C00556","1","B_o006_r01036","B"
"WP09C00557","1","B_o006_r00990","B"
"WP09C00558","1","B_o006_r01046","B"
"WP09C00559","1","B_o006_r01032","B"
"WP09C00560","1","B_o006_r01033","B"
"WP09C00560","1","B_o006_r01035","B"
"WP09C00560","1","B_o006_r01039","B"
"WP09C00560","1","B_o006_r01041","B"
"WP09C00561","1","B_o006_r01008","B"
"WP09C00562","1","B_o006_r00964","B"
"WP09C00563","1","B_o006_r01045","B"
"WP09C00563","1","B_o006_r01047","B"
"WP09C00564","1","B_o006_r00986","B"
"WP09C00564","1","B_o006_r01010","B"
"WP09C00565","1","B_o006_r00983","B"
"WP09C00565","1","B_o006_r01007","B"
"WP09C00566","1","B_o006_r01024","B"
"WP09C00567","1","B_o006_r00982","B"
"WP09C00568","1","B_o006_r01066","B"
"WP09C00569","1","B_o006_r01027","B"
"WP09C00569","1","B_o006_r01029","B"
"WP09C00570","1","B_o006_r01060","B"
"WP09C00571","1","B_o006_r00984","B"
"WP09C00572","1","B_o006_r00962","B"
"WP09C00573","1","B_o006_r00996","B"
"WP09C00574","1","B_o006_r01072","B"
"WP09C00575","1","B_o006_r00989","B"
"WP09C00575","1","B_o006_r01013","B"
"WP09C00576","1","B_o006_r01014","B"
"WP09C00577","1","B_o006_r00966","B"
"WP09C00578","1","B_o006_r00976","B"
"WP09C00579","1","B_o006_r01006","B"
"WP09C00580","1","B_o007_r01147","B"
"WP09C00580","1","B_o007_r01149","B"
"WP09C00581","1","B_o007_r01154","B"
"WP09C00581","1","B_o007_r01160","B"
"WP09C00582","1","B_o007_r01108","B"
"WP09C00583","1","B_o007_r01085","B"
"WP09C00583","1","B_o007_r01091","B"
"WP09C00583","1","B_o007_r01115","B"
"WP09C00584","1","B_o007_r01082","B"
"WP09C00585","1","B_o007_r01081","B"
"WP09C00586","1","B_o007_r01174","B"
"WP09C00587","1","B_o007_r01162","B"
"WP09C00588","1","B_o007_r01102","B"
"WP09C00589","1","B_o007_r01172","B"
"WP09C00590","1","B_o007_r01093","B"
"WP09C00590","1","B_o007_r01095","B"
"WP09C00590","1","B_o007_r01117","B"
"WP09C00590","1","B_o007_r01119","B"
"WP09C00591","1","B_o007_r01168","B"
"WP09C00592","1","B_o007_r01094","B"
"WP09C00592","1","B_o007_r01118","B"
"WP09C00593","1","B_o007_r01083","B"
"WP09C00593","1","B_o007_r01089","B"
"WP09C00593","1","B_o007_r01113","B"
"WP09C00594","1","B_o007_r01142","B"
"WP09C00595","1","B_o007_r01141","B"
"WP09C00595","1","B_o007_r01143","B"
"WP09C00596","1","B_o007_r01105","B"
"WP09C00596","1","B_o007_r01107","B"
"WP09C00596","1","B_o007_r01129","B"
"WP09C00596","1","B_o007_r01131","B"
"WP09C00597","1","B_o007_r01126","B"
"WP09C00598","1","B_o007_r01098","B"
"WP09C00599","1","B_o007_r01090","B"
"WP09C00600","1","B_o007_r01171","B"
"WP09C00600","1","B_o007_r01173","B"
"WP09C00601","1","B_o007_r01092","B"
"WP09C00602","1","B_o007_r01120","B"
"WP09C00603","1","B_o007_r01103","B"
"WP09C00603","1","B_o007_r01127","B"
"WP09C00604","1","B_o007_r01146","B"
"WP09C00605","1","B_o007_r01100","B"
"WP09C00605","1","B_o007_r01124","B"
"WP09C00606","1","B_o007_r01084","B"
"WP09C00607","1","B_o007_r01145","B"
"WP09C00608","1","B_o007_r01132","B"
"WP09C00609","1","B_o007_r01104","B"
"WP09C00610","1","B_o007_r01122","B"
"WP09C00611","1","B_o007_r01097","B"
"WP09C00611","1","B_o007_r01121","B"
"WP09C00612","1","B_o007_r01156","B"
"WP09C00613","1","B_o007_r01148","B"
"WP09C00614","1","B_o007_r01110","B"
"WP09C00615","1","B_o007_r01099","B"
"WP09C00615","1","B_o007_r01101","B"
"WP09C00615","1","B_o007_r01123","B"
"WP09C00615","1","B_o007_r01125","B"
"WP09C00616","1","B_o007_r01166","B"
